EventName,Label,Default,FileName
GW200129_065458,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200202_154313,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200202_154313,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200202_154313,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200208_130117,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200208_130117,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200208_130117,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200208_222617,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200208_222617,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200208_222617,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200209_085452,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200209_085452,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200209_085452,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200210_092254,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200210_092254,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200210_092254,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200216_220804,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200216_220804,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200216_220804,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200219_094415,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200219_094415,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200219_094415,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200220_061928,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200220_061928,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200220_061928,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200220_124850,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200220_124850,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200220_124850,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200224_222234,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200224_222234,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200224_222234,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200225_060421,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200225_060421,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200225_060421,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200302_015811,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200302_015811,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200302_015811,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200306_093714,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200306_093714,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200306_093714,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200308_173609,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200308_173609,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200308_173609,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200311_115853,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200311_115853,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200311_115853,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200316_215756,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200316_215756,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200316_215756,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200322_091133,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200322_091133_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200322_091133,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200322_091133_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200322_091133,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200322_091133_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
