,ra,dec,ids,bands
158,249.56030954211315,-21.884361825908737,2025062400161,g
159,249.4487915342408,-19.08941941610857,2025062400162,r
160,252.2758416677974,-19.939187475125483,2025062400163,r
161,249.56029900554972,-21.884360583394727,2025062400164,r
162,252.5526238168591,-22.86277262731998,2025062400165,r
163,255.10157613520124,-20.6986967357891,2025062400166,r
164,257.95333231460813,-21.409551034010235,2025062400167,r
165,258.4803083573551,-24.417540291615975,2025062400168,r
166,255.5142699160576,-23.68292010199316,2025062400169,r
167,255.84386431804995,-26.58496123674811,2025062400170,r
168,258.94114289167993,-27.359049267795495,2025062400171,r
169,256.1482580580384,-29.439118952180213,2025062400172,r
170,256.4593009159207,-32.268950629267614,2025062400173,r
171,259.3807510758868,-30.25308446518812,2025062400174,r
172,262.05500224515805,-28.05139852735648,2025062400175,r
173,262.63298880833946,-30.97039335139388,2025062400176,r
174,259.8316348527039,-33.11672617117446,2025062400177,r
175,263.23325130565985,-33.85840648874434,2025062400178,r
176,265.91205235705775,-31.60815386642925,2025062400179,r
177,265.1955448855439,-28.67655956370048,2025062400180,r
178,268.36703133160944,-29.241812968317877,2025062400181,r
179,269.22203991158744,-32.176874329875815,2025062400182,r
180,272.5637382344146,-32.683004337172555,2025062400183,r
181,275.93580691704494,-33.13005585541191,2025062400184,r
182,274.8050354246167,-30.20598883775681,2025062400185,r
183,273.74921923276986,-27.25991951154462,2025062400186,r
184,267.54197905394545,-26.276743811194898,2025062400188,r
185,261.4688161164792,-25.090252555838443,2025062400190,r
186,260.83841432132095,-22.076892753593977,2025062400191,r
187,266.71699274574144,-23.278813446447383,2025062400193,r
188,267.90423186770727,-17.77905028115523,2025062400195,r
189,265.04840496926107,-17.205662000027147,2025062400197,r
190,260.13200847889016,-19.011434329516657,2025062400199,r
191,259.4298612072777,-15.932285066985688,2025062400201,r
192,256.6623645504849,-15.237791659608012,2025062400203,r
193,254.51696585388402,-17.608476534162797,2025062400205,r
194,270.6294655427681,-26.793753021900667,2025062400187,r
195,264.4882726528425,-25.709150548257988,2025062400189,r
196,263.7592963783664,-22.70050065026306,2025062400192,r
197,265.8723139721686,-20.249351032570015,2025062400194,r
198,266.97373164183085,-14.742227309391899,2025062400196,r
199,262.9852232006493,-19.651904587284502,2025062400198,r
200,262.22397366887924,-16.589205289610653,2025062400200,r
201,257.3106721202318,-18.32997277715512,2025062400202,r
202,253.91123760926604,-14.51101307460256,2025062400204,r
203,251.7379054307723,-16.84576900007709,2025062400206,r
204,248.9102764291801,-16.024865122115123,2025062400207,r
205,244.09833380804264,-16.033835808007137,2025062400208,r
206,246.50787557601504,-17.722435705983926,2025062400209,r
207,249.44883881835747,-19.08950269091051,2025062400210,i
208,252.275885718375,-19.93917190446126,2025062400211,i
209,249.56028182893942,-21.88427667302463,2025062400212,i
210,252.55268227592492,-22.862760848026987,2025062400213,i
211,255.10137660381264,-20.698760322891687,2025062400214,i
212,257.95325046880254,-21.40961175560845,2025062400215,i
213,258.48033681309624,-24.417530445304624,2025062400216,i
214,255.51446209407717,-23.6829754734703,2025062400217,i
215,255.84391325587947,-26.584953534274756,2025062400218,i
216,258.94111966954046,-27.359084950503043,2025062400219,i
217,256.1482793575383,-29.439113523534637,2025062400220,i
218,256.45910168127085,-32.2689460579707,2025062400222,i
219,259.3809170578314,-30.253049616320922,2025062400223,i
220,262.05506284860644,-28.051352228036787,2025062400224,i
221,262.6330843101698,-30.970359869161733,2025062400225,i
222,263.2332057298935,-33.85840668996673,2025062400227,i
223,268.3671251788215,-29.241801686105024,2025062400230,i
224,259.83156570148907,-33.11672597156353,2025062400226,i
225,265.91215934480886,-31.608150577087333,2025062400228,i
226,265.19544958139915,-28.676513804806113,2025062400229,i
227,249.97871010510045,-14.735119162338929,2025062900315,i
228,254.78819885296292,-16.792710090172545,2025062900316,i
229,253.1322779197297,-19.49071181838574,2025062900317,i
230,256.42792200614036,-19.124831570306277,2025062900318,i
231,258.1149411291871,-21.4289852021125,2025062900319,i
232,261.481244179531,-21.012877374102505,2025062900320,i
233,263.28480085679763,-23.256032141919864,2025062900321,i
234,259.85474862874776,-23.702122687215947,2025062900322,i
235,261.65372778797257,-25.942166555453163,2025062900323,i
236,258.19204998516767,-26.44939949688967,2025062900324,i
237,259.9935295519213,-28.70987911086988,2025062900345,z
238,263.5196342429064,-28.147869371203257,2025062900346,z
239,261.8679453674593,-30.938077401880236,2025062900347,z
240,263.8275005882313,-33.13423085678266,2025062900348,z
241,265.4619920442687,-30.31950582836016,2025062900349,z
242,267.49165284788614,-32.463640921500954,2025062900350,z
243,269.13516424381027,-29.887475838792593,2025062900351,z
244,270.7231597437204,-27.411029757785442,2025062900352,z
245,267.1016366203006,-27.674473921118878,2025062900353,z
246,265.1549597585399,-25.473224049735823,2025062900354,z
247,268.69487634311264,-25.129916910926905,2025062900355,z
248,270.2271486760202,-22.628766412096464,2025062900356,z
249,266.7471508755082,-22.881890727036225,2025062900357,z
250,264.8732696297977,-20.634536101477412,2025062900358,z
251,268.28453844843824,-20.336033953438008,2025062900359,z
252,266.41106200648795,-18.05201070814516,2025062900360,z
253,269.76509579589003,-17.80812743934503,2025062900361,z
254,271.19057895112894,-15.280124463126494,2025062900362,z
255,269.3252350213814,-12.92348935961512,2025062900363,z
256,267.89488892740593,-15.487072114379552,2025062900364,z
257,266.08482030672894,-13.159070300427034,2025062900365,z
258,264.60045502458064,-15.759041061575482,2025062900366,z
259,262.8489560937482,-13.446503156015176,2025062900367,z
260,261.31630120907886,-16.084428977204333,2025062900368,z
261,259.62203500126077,-13.770225771515378,2025062900369,z
